2019-11-23 11:12:55.742 +02:00 [INF] Application starting up!
2019-11-23 11:12:59.698 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-23 11:13:01.425 +02:00 [INF] HTTP GET / responded 200 in 531.9893 ms
2019-11-23 11:13:06.241 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 520.8004 ms
2019-11-23 11:13:06.594 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 332.0885 ms
2019-11-23 11:13:07.429 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 25.209 ms
2019-11-23 11:13:07.544 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6954 ms
2019-11-23 11:13:07.603 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 41.685 ms
2019-11-23 11:13:20.486 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 398.6484 ms
2019-11-23 11:13:20.582 +02:00 [INF] HTTP GET /notification?id=QK3SkPOE-BAJMy9KDuAnwQ responded 101 in 13135.9346 ms
2019-11-23 11:13:20.800 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.9527 ms
2019-11-23 11:13:20.929 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 6.1252 ms
2019-11-23 11:13:20.945 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 6.1797 ms
2019-11-23 11:13:21.828 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 61.9551 ms
2019-11-23 11:13:21.847 +02:00 [INF] HTTP GET /notification?id=rf1j1nFxY9wmzPcNjN5O1A responded 101 in 996.2224 ms
2019-11-23 11:13:21.934 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5834 ms
2019-11-23 11:13:22.213 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.3371 ms
2019-11-23 11:13:22.228 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.3769 ms
2019-11-23 11:13:25.651 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=5a4dceec-769e-4316-9e8d-b6e8ea2427b6 responded 200 in 143.1198 ms
2019-11-23 11:13:27.978 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=5a4dceec-769e-4316-9e8d-b6e8ea2427b6 responded 200 in 52.8282 ms
2019-11-23 11:13:30.827 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=5a4dceec-769e-4316-9e8d-b6e8ea2427b6 responded 200 in 21.6248 ms
2019-11-23 11:13:53.111 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=5a4dceec-769e-4316-9e8d-b6e8ea2427b6 responded 200 in 23.21 ms
2019-11-23 11:14:15.769 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 59.0381 ms
2019-11-23 11:14:15.780 +02:00 [INF] HTTP GET /notification?id=-vfkNapL46_HN1JlgzZSxw responded 101 in 53669.7915 ms
2019-11-23 11:14:15.976 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5638 ms
2019-11-23 11:14:16.197 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.8195 ms
2019-11-23 11:14:16.223 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.871 ms
2019-11-23 11:14:17.123 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 74.9155 ms
2019-11-23 11:14:17.131 +02:00 [INF] HTTP GET /notification?id=o_NvKHuGbAT28kK5CKb1dg responded 101 in 1102.627 ms
2019-11-23 11:14:17.370 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.27 ms
2019-11-23 11:14:17.485 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3126 ms
2019-11-23 11:14:17.499 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.6353 ms
2019-11-23 11:14:31.063 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 30.5404 ms
2019-11-23 11:14:31.078 +02:00 [INF] HTTP GET /notification?id=hJLEN2YKJ1W5sjsVlYO8DA responded 101 in 13680.8256 ms
2019-11-23 11:14:31.214 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6593 ms
2019-11-23 11:14:31.606 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.8797 ms
2019-11-23 11:14:31.620 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.6375 ms
2019-11-23 11:17:18.110 +02:00 [INF] HTTP GET / responded 302 in 7.6155 ms
2019-11-23 11:17:18.142 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 22.2302 ms
2019-11-23 11:17:18.154 +02:00 [INF] HTTP GET /notification?id=5ovIojAC7HaH9QPFwKk3VA responded 101 in 166772.7073 ms
2019-11-23 11:17:18.388 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4872 ms
2019-11-23 11:17:18.720 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 2.0767 ms
2019-11-23 11:17:18.747 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.6425 ms
2019-11-23 11:22:04.383 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 30.8308 ms
2019-11-23 11:22:04.394 +02:00 [INF] HTTP GET /notification?id=TYMn6fcYLOxCWMzlOHkfMg responded 101 in 285809.9697 ms
2019-11-23 11:22:04.655 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6834 ms
2019-11-23 11:22:04.884 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4885 ms
2019-11-23 11:22:04.894 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.4389 ms
2019-11-23 11:22:05.890 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 41.8141 ms
2019-11-23 11:22:05.901 +02:00 [INF] HTTP GET /notification?id=pRiz2aay0-r-WEKdQL3S_g responded 101 in 1221.0406 ms
2019-11-23 11:22:06.132 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.533 ms
2019-11-23 11:22:06.254 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3037 ms
2019-11-23 11:22:06.264 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.09 ms
2019-11-23 11:22:08.679 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 10.1936 ms
2019-11-23 11:22:22.023 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 6.3897 ms
2019-11-23 11:23:45.753 +02:00 [INF] HTTP GET / responded 302 in 0.8799 ms
2019-11-23 11:23:45.850 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 65.9408 ms
2019-11-23 11:23:46.143 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 11.5503 ms
2019-11-23 11:23:46.837 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.501 ms
2019-11-23 11:23:47.028 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.6926 ms
2019-11-23 11:23:47.057 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.2796 ms
2019-11-23 11:23:47.862 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 53.1256 ms
2019-11-23 11:23:47.872 +02:00 [INF] HTTP GET /notification?id=5zGmcJ5wv6Kj41AzLwyXmw responded 101 in 981.2165 ms
2019-11-23 11:23:48.210 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4764 ms
2019-11-23 11:23:48.333 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.0475 ms
2019-11-23 11:23:48.351 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 5.6635 ms
2019-11-23 11:23:50.974 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 14.3876 ms
2019-11-23 11:24:03.813 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 95.6121 ms
2019-11-23 11:24:03.836 +02:00 [INF] HTTP GET /notification?id=wbn6Wjuv0yezLvBGtAAYzg responded 101 in 15598.8799 ms
2019-11-23 11:24:04.251 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4569 ms
2019-11-23 11:24:04.427 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3492 ms
2019-11-23 11:24:04.438 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.6359 ms
2019-11-23 11:24:06.542 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 4.5168 ms
2019-11-23 11:24:11.532 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 13.2959 ms
2019-11-23 11:24:14.053 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 15.2286 ms
2019-11-23 11:24:16.082 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 9.8738 ms
2019-11-23 11:25:12.652 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 38.1132 ms
2019-11-23 11:25:12.665 +02:00 [INF] HTTP GET /notification?id=y6l__R8f8PUqNpj6N0RmdQ responded 101 in 68363.4938 ms
2019-11-23 11:25:12.809 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5468 ms
2019-11-23 11:25:13.139 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.6276 ms
2019-11-23 11:25:13.164 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 4.3853 ms
2019-11-23 11:25:15.006 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 16.2057 ms
2019-11-23 11:25:15.021 +02:00 [INF] HTTP GET /notification?id=1dDh7ntMPx_2PulxJG1mRw responded 101 in 188865.9922 ms
2019-11-23 11:25:15.145 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.61 ms
2019-11-23 11:25:15.430 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3529 ms
2019-11-23 11:25:15.437 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2552 ms
2019-11-23 11:25:16.219 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 7.3458 ms
2019-11-23 11:25:19.016 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 31.4201 ms
2019-11-23 11:25:19.047 +02:00 [INF] HTTP GET /notification?id=7gv1MfIbP-nM0FhncD_l-w responded 101 in 6092.4484 ms
2019-11-23 11:25:19.395 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5132 ms
