2019-11-25 15:01:18.055 +02:00 [INF] Application starting up!
2019-11-25 15:01:52.743 +02:00 [INF] Application starting up!
2019-11-25 15:01:54.941 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-25 15:01:55.303 +02:00 [INF] HTTP GET / responded 200 in 268.9451 ms
2019-11-25 15:02:01.825 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 421.7135 ms
2019-11-25 15:02:02.158 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 307.8749 ms
2019-11-25 15:02:02.735 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 29.8848 ms
2019-11-25 15:02:02.845 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.4196 ms
2019-11-25 15:02:02.864 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 11.1498 ms
2019-11-25 15:03:40.644 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 98.3215 ms
2019-11-25 15:03:40.738 +02:00 [INF] HTTP GET /notification?id=PkWP2CX74mprRc14FKO0bQ responded 101 in 97992.6099 ms
2019-11-25 15:03:41.226 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 1.8665 ms
2019-11-25 15:03:41.235 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7131 ms
2019-11-25 15:03:46.669 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 492.5995 ms
2019-11-25 15:03:47.052 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8723 ms
2019-11-25 15:03:47.449 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 17.6679 ms
2019-11-25 15:03:47.466 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.3186 ms
2019-11-25 15:03:48.289 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 136.3251 ms
2019-11-25 15:04:02.115 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 33.2514 ms
2019-11-25 15:04:05.038 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 57.6679 ms
2019-11-25 15:04:05.063 +02:00 [INF] HTTP GET /notification?id=f4sGbroZwal8IU8Tuzd7kQ responded 101 in 17984.124 ms
2019-11-25 15:04:05.312 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.3908 ms
2019-11-25 15:04:05.655 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5531 ms
2019-11-25 15:04:05.674 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.5108 ms
2019-11-25 15:04:06.772 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=86b9655f-c1f1-4d2e-9695-d5ffec372eb5 responded 200 in 4.1743 ms
2019-11-25 15:04:16.002 +02:00 [INF] Status of email with id 86b9655f-c1f1-4d2e-9695-d5ffec372eb5 has been updated by d3bcd816-cf83-4740-acfe-51a6d2d944c6 at 25.11.2019 г. 15:04:16. From status: Open to status: Closed.
2019-11-25 15:04:16.026 +02:00 [INF] HTTP GET /Application/ChangeStatusAsync?id=86b9655f-c1f1-4d2e-9695-d5ffec372eb5&appStatus=Rejected responded 200 in 131.5416 ms
2019-11-25 15:04:16.068 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 25.9766 ms
2019-11-25 15:04:16.083 +02:00 [INF] HTTP GET /notification?id=rKeyaPC2ywsIaEHAt3TIEA responded 101 in 10745.4442 ms
2019-11-25 15:04:16.424 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5463 ms
